,,CB,CB,CB,FM,FM,FM,HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),MP,MP,MP,PureSVD,PureSVD,PureSVD,RND,RND,RND
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,topk,,,,,,,,,,,,,,,,,,
1,1,27199.0,0.00243416685107,0.00243416685107,3954.0,0.00863022792653,0.00863022792653,34666.0,0.0101792431954,0.0101792431954,61.0,0.00863022792653,0.00863022792653,27781.0,0.00685992476212,0.00685992476212,70013.0,0.0,0.0
1,3,27199.0,0.00531090949325,0.00372501290846,3954.0,0.0126134100465,0.010363649775,34666.0,0.0188094711219,0.0138673747879,61.0,0.0121708342554,0.0102530058272,27781.0,0.0146050011064,0.0103267684591,70013.0,0.0,0.0
1,10,27199.0,0.016817880062,0.00563318194431,3954.0,0.021243637973,0.0118050945391,34666.0,0.0387253817216,0.0174467064985,61.0,0.0196946227041,0.0115007358701,27781.0,0.025669395884,0.0122493387707,70013.0,0.0,0.0
1,20,27199.0,0.0247842443018,0.00618162195619,3954.0,0.0300951537951,0.0124082887322,34666.0,0.0466917459615,0.0179992479911,61.0,0.0252268200929,0.0118880676063,27781.0,0.0345209117061,0.0128610675426,70013.0,0.0,0.0
1,30,27199.0,0.0331931843328,0.00650375109876,3954.0,0.0369550785572,0.012675291889,34666.0,0.0535516707236,0.0182936496033,61.0,0.0342996238106,0.0122379026645,27781.0,0.0413808364682,0.0131328524069,70013.0,0.000221287895552,7.90313912686e-06
2,1,27212.0,0.00220507166483,0.00220507166483,4291.0,0.0077177508269,0.0077177508269,34239.0,0.00573318632856,0.00573318632856,63.0,0.0077177508269,0.0077177508269,27484.0,0.00683572216097,0.00683572216097,70199.0,0.0,0.0
2,3,27212.0,0.00749724366042,0.00437339213524,4291.0,0.0110253583241,0.00915104740904,34239.0,0.0149944873208,0.00973906651966,63.0,0.0105843439912,0.0090407938258,27484.0,0.0130099228225,0.00951855935318,70199.0,0.0,0.0
2,10,27212.0,0.0149944873208,0.00552562958296,4291.0,0.0174200661521,0.0101131411771,34239.0,0.0306504961411,0.0125054689277,63.0,0.0158765159868,0.00998031186014,27484.0,0.0222712238148,0.0112335275896,70199.0,0.000220507166483,3.15010237833e-05
2,20,27212.0,0.0216097023153,0.00597987767201,4291.0,0.026019845645,0.0106967236478,34239.0,0.0396912899669,0.0131472261398,63.0,0.0235942668137,0.0105056181975,27484.0,0.0277839029768,0.0116110680485,70199.0,0.000220507166483,3.15010237833e-05
2,30,27212.0,0.0284454244763,0.006250657168,4291.0,0.0357221609702,0.0110899741797,34239.0,0.0478500551268,0.0134732078675,63.0,0.0291069459757,0.0107200607593,27484.0,0.0335170893054,0.0118400273497,70199.0,0.000441014332966,3.96679558752e-05
3,1,26768.0,0.00223413762288,0.00223413762288,3793.0,0.0107238605898,0.0107238605898,33893.0,0.00804289544236,0.00804289544236,66.0,0.00938337801609,0.00938337801609,27054.0,0.00759606791778,0.00759606791778,69643.0,0.0,0.0
3,3,26768.0,0.00513851653262,0.00361185582365,3793.0,0.0158623771224,0.0128462913315,33893.0,0.0165326184093,0.011654751266,66.0,0.0125111706881,0.0107238605898,27054.0,0.0134048257373,0.01009085493,69643.0,0.0,0.0
3,10,26768.0,0.0136282394996,0.00502441593259,3793.0,0.0234584450402,0.0140146034583,33893.0,0.0292672028597,0.0138264748855,66.0,0.0201072386059,0.0120906740712,27054.0,0.0216711349419,0.0113939245642,69643.0,0.0,0.0
3,20,26768.0,0.0234584450402,0.00568884185456,3793.0,0.0321715817694,0.0146242873896,33893.0,0.0399910634495,0.0145118698707,66.0,0.0283735478105,0.0126561673951,27054.0,0.0250223413762,0.0116115791479,69643.0,0.0,0.0
3,30,26768.0,0.0283735478105,0.00588931077385,3793.0,0.0408847184987,0.0149616285674,33893.0,0.0487042001787,0.0148559725076,66.0,0.0346291331546,0.012907530956,27054.0,0.0317247542449,0.011878685412,69643.0,0.000223413762288,8.59283701107e-06
4,1,27185.0,0.00199512303259,0.00199512303259,4695.0,0.00886721347816,0.00886721347816,34243.0,0.0082021724673,0.0082021724673,55.0,0.00886721347816,0.00886721347816,28008.0,0.00642872977167,0.00642872977167,69889.0,0.0,0.0
4,3,27185.0,0.00731545111949,0.00428581984778,4695.0,0.0128574595433,0.0104928692825,34243.0,0.0190645089781,0.0128205128205,55.0,0.0115273775216,0.00986477499446,28008.0,0.0137441808912,0.00938446759772,69889.0,0.0,0.0
4,10,27185.0,0.0164043449346,0.00559725257132,4695.0,0.0221680336954,0.0120672395168,34243.0,0.0321436488583,0.0150678412206,55.0,0.0170693859455,0.0107162210188,28008.0,0.0237197960541,0.0110239344389,69889.0,0.0,0.0
4,20,27185.0,0.0277100421193,0.00635447255962,4695.0,0.0334737308801,0.0128485753409,34243.0,0.0430059853691,0.0158338185772,55.0,0.0272666814454,0.0114107886621,28008.0,0.0299268454888,0.0114528292563,69889.0,0.000221680336954,1.70523336119e-05
4,30,27185.0,0.0348038129018,0.00661835095484,4695.0,0.0399024606517,0.0131056504788,34243.0,0.0534249612059,0.0162529306349,55.0,0.0348038129018,0.0117161306787,28008.0,0.0356905342496,0.011677970204,69889.0,0.000221680336954,1.70523336119e-05
5,1,27027.0,0.00132362673726,0.00132362673726,6906.0,0.00573571586146,0.00573571586146,34151.0,0.00904478270461,0.00904478270461,62.0,0.00551511140525,0.00551511140525,27591.0,0.00617692477388,0.00617692477388,70160.0,0.0,0.0
5,3,27027.0,0.00507390249283,0.0029046253401,6906.0,0.0134568718288,0.00897124788587,34151.0,0.0218398411648,0.0145966615192,62.0,0.00838296933598,0.00676520332377,27591.0,0.0119126406353,0.00889771306714,70160.0,0.0,0.0
5,10,27027.0,0.0163247297595,0.00490302158072,6906.0,0.0258107213766,0.011001771839,34151.0,0.0377233620119,0.0172574839186,62.0,0.0143392896537,0.00772316942072,27591.0,0.0231634679021,0.0108673081704,70160.0,0.00022060445621,2.2060445621e-05
5,20,27027.0,0.022060445621,0.00530222228591,6906.0,0.0403706154864,0.0120414366464,34151.0,0.0500772115597,0.0181126505849,62.0,0.0196337966027,0.00810258882838,27591.0,0.0308846238694,0.0114062414435,70160.0,0.00022060445621,2.2060445621e-05
5,30,27027.0,0.0286785793073,0.00556535475293,6906.0,0.0500772115597,0.012427038408,34151.0,0.0569159497022,0.0183897311232,62.0,0.0251489080079,0.00832046815728,27591.0,0.035737921906,0.0116016245616,70160.0,0.00044120891242,2.96674958351e-05
